Tree_Units,Cool_Roof_Units,Water_Units,Final_Temperature,Total_Cost,Temperature_Reduction
0.0016204890204347677,0.0005192568408074472,1.262190387286543e-05,50.514562748514486,0.9975763221417816,0.000976119085557059
0.5849292344638655,0.14847596225021653,0.0017266267890056683,50.17715016026184,341.32397287951187,0.33838870733820414
2.2136185652691402,0.3647533204313653,0.0004320392597693861,49.29895795742825,1217.3153769134033,1.2165809101717926
2.9262623449428586,0.6304296925997797,0.03420455745184569,48.835915141387204,1737.7714738809777,1.6796237262128386
1.4321881277374935,6.13354943835162,0.0017266267890056683,47.95799867079461,2560.475462346747,2.5575401968054337
4.721984069190841,4.594662062690983,0.04397556537452586,46.74096776189771,3849.329566839029,3.7745711057023357
0.0016204890204347677,15.006711895070291,1.7273961043729537e-05,46.0127012353999,4502.866997933914,4.502837632200141
3.5237850418782166,11.82554489365824,0.002952720013180636,45.20362070255292,5316.937789069532,5.311918165047125
4.595678951004405,11.82554489365824,0.11342226967724094,44.57929810825858,6129.058617792777,5.936240759341466
7.703488681932908,8.702318782679853,0.04650962103157421,44.01589119500437,6578.714028349346,6.499647672595671
9.200704182914016,7.276467689977093,0.0008881881936137689,43.731535918595014,6785.51286893417,6.784002949005028
4.9767406160973575,16.917841251621745,0.0014164010976303407,42.95068306318674,7567.263686279279,7.564855804413305
7.73062374578443,13.598604079178228,0.00911466000224087,42.56335404295257,7967.679746651285,7.952184824647475
0.2629537389252832,27.765947941356515,0.06949641873507341,41.99868048074239,8635.00229870728,8.516858386857656
8.11005683411035,17.608769673934408,0.0015811574228885936,41.176614622426236,9341.61221279272,9.338924245173807
8.11005683411035,18.173033850786027,0.1724220134785959,40.87066268452618,9937.993605987473,9.644876183073862
6.167918112609186,24.534884378536574,0.006767658266504148,40.065700371121274,10461.343515531828,10.449838496478769
6.7318880421487926,26.298636662169248,0.00024798201881002027,39.25980546225983,11256.154974772195,11.255733405340216
6.7318880421487926,26.620060592019637,0.04650962103157421,39.1263689720945,11468.236251259224,11.389169895505546
23.707263990468128,2.192102367534325,0.17283108552885373,37.8660112936826,12943.340419316495,12.649527573917446
23.707263990468128,4.140164894391422,0.17283108552885373,37.28159253562547,13527.759177373624,13.233946331974572
11.123580108189218,27.62532050692771,0.04650962103157421,36.62894496460186,13965.66025875186,13.886593902998186
14.257890450027622,26.620060592019637,0.012839591229423374,35.3903037919968,15147.06238069326,15.125235075603243
2.988591156231714,47.199734543063556,0.06818104789411719,34.80677808824983,15824.668560770217,15.708760779350214
2.660977646844242,49.95713430946977,0.01651540288871889,34.184697429026016,16358.917623484851,16.330841438574026
7.7701990752156185,45.59287295932521,0.03410904457778141,32.925290206532445,17648.234036849826,17.590248661067598
9.201833136639102,45.54326456161563,0.0259616467341425,32.23087361340849,18328.8000536396,18.28466525419155
35.165006610183276,5.611990556291565,0.03961548375358992,31.217746008618064,19365.139181363083,19.29779285898198
36.414220074017926,10.824417831973886,0.0004363821976824632,29.060754375240766,21455.526342095334,21.454784492359277
41.41401740449447,6.412476534274145,0.2386370198691914,27.69387758917521,23227.34421220246,22.821661278424834
37.66659994033696,16.393892085609764,0.03936772767215041,26.732577089610913,23849.88691503178,23.78296177798913
34.39341241607276,24.381589492215667,0.005103771422818461,26.000272794760708,24523.94248425813,24.515266072839335
34.39341241607276,24.381589492215667,0.09574043983405969,25.927763460031713,24750.534155286234,24.58777540756833
34.39341241607276,24.603427640265707,0.6887645549031183,25.386792723561456,26299.64588737389,25.128746144038587
47.07826066561055,10.087044425470712,0.05967553201782766,23.902554781539294,26714.432490491057,26.61298408606075
